Partition,PDB,pKd
1,3b27,5.16
1,1ft7,5.18
1,1oxr,5.19
1,1nw5,5.21
1,1o5c,5.22
1,2hxm,5.22
1,3iof,5.22
1,3qxt,5.22
1,1q8w,5.24
1,4e81,5.24
1,3n9s,5.26
1,3bbf,5.28
1,1h6h,5.30
1,3ebb,5.30
1,1hk4,5.31
1,3ozs,5.33
1,3hkq,5.34
1,2gkl,5.35
1,3mf5,5.36
1,4el5,5.37
1,4f7v,5.38
1,1bp0,5.40
1,1r9l,5.40
1,2jdm,5.40
1,2j47,5.41
1,1h0a,5.44
1,3u10,5.44
1,1q65,5.46
1,2hf8,5.47
1,2cbv,5.48
1,1pyn,5.49
1,3bvb,5.49
1,2wqp,5.51
1,1oe8,5.52
1,3hzm,5.52
1,2olb,5.54
1,3v78,5.54
1,3uzj,5.55
1,3bex,5.57
1,1f4x,5.59
1,1vfn,5.60
1,3u5j,5.61
1,3ldp,5.62
1,3gy3,5.63
1,1z9g,5.64
1,3s8l,5.64
1,2aod,5.66
1,2h15,5.67
1,2cbu,5.68
1,4det,5.68
1,1jsv,5.70
1,2h3e,5.70
1,3d4y,5.70
1,1obx,5.72
1,4dkp,5.72
1,1qy2,5.74
1,3gy2,5.74
1,2qta,5.76
1,2boj,5.77
1,1hmt,5.79
1,2q88,5.80
1,1ols,5.82
1,3iue,5.82
1,1k4g,5.85
1,1u1w,5.85
1,2z94,5.85
1,3tcg,5.87
1,2eg7,5.89
1,3uev,5.89
1,3old,5.90
1,1kyv,5.92
1,1qka,5.92
1,3kgu,5.92
1,1kv1,5.94
1,1o36,5.96
1,1uwt,5.97
1,1ado,6.00
1,1jq8,6.00
1,2izl,6.00
1,3bze,6.00
1,1b5h,6.01
1,3coy,6.02
1,1n8v,6.03
1,2ce9,6.03
1,3bgb,6.05
1,1g7q,6.06
1,2nnd,6.06
1,3b25,6.07
1,2wc3,6.08
1,1ogx,6.09
1,1m2q,6.10
1,2wed,6.10
1,1g32,6.11
1,1nc1,6.12
1,3qfy,6.12
1,1zs0,6.15
1,1d6v,6.17
1,4aq4,6.17
1,1tq4,6.19
1,1owe,6.20
1,4ad2,6.20
1,2xda,6.22
1,3pb3,6.22
1,1hnn,6.24
1,1wcq,6.26
1,3bfu,6.27
1,4djw,6.28
1,1lag,6.30
1,2vrj,6.30
1,2bal,6.31
1,1w3j,6.32
1,1ex8,6.33
1,1xq0,6.34
1,2p09,6.35
1,1c5q,6.36
1,1hbv,6.37
1,3qlm,6.37
1,10gs,6.40
1,1yvm,6.40
1,3kmc,6.40
1,2cgf,6.41
1,3k5x,6.41
1,1fh9,6.43
1,2jh5,6.44
1,3qw5,6.45
1,2xdx,6.46
1,1f4g,6.48
1,3gsm,6.48
1,3s0b,6.49
1,2usn,6.51
1,1alw,6.52
1,1zhy,6.52
1,2pfy,6.52
1,3o9p,6.52
1,3ama,6.53
1,2zfs,6.54
1,1dhj,6.55
1,1yda,6.55
1,1sld,6.57
1,3qox,6.57
1,3pb9,6.58
1,1izi,6.59
1,3gs6,6.59
1,2euk,6.60
1,3ip6,6.60
1,1afk,6.62
1,2vwc,6.62
1,2yfe,6.63
1,2d3z,6.64
1,3mzc,6.65
1,1pxp,6.66
1,3g19,6.67
1,2qbs,6.68
1,2xn5,6.69
1,1f3e,6.70
1,2evl,6.70
1,3pck,6.70
1,2jdu,6.72
1,3l4v,6.72
1,1add,6.74
1,3dgo,6.74
1,2on6,6.76
1,1qb1,6.77
1,3su0,6.79
1,3c88,6.80
1,1fhd,6.82
1,1uwf,6.82
1,2rfh,6.82
1,3dnj,6.82
1,1bhx,6.84
1,1lkk,6.85
1,1xt8,6.85
1,3pyy,6.86
1,1xka,6.88
1,1sb1,6.89
1,2f34,6.89
1,3r4n,6.89
1,1a9m,6.92
1,2d3u,6.92
1,3uex,6.92
1,1gvw,6.96
1,3t84,6.97
1,4fai,6.99
1,1gj6,7.00
1,3bbb,7.00
1,3t82,7.00
1,4fm7,7.00
1,3igp,7.02
1,4av4,7.03
1,2jxr,7.05
1,3s0d,7.05
1,1ydd,7.07
1,1xpz,7.08
1,1b32,7.10
1,3ebi,7.10
1,1b52,7.12
1,2x2r,7.12
1,1o3d,7.13
1,2vot,7.14
1,1pxn,7.15
1,3fql,7.15
1,1o2h,7.17
1,2xj2,7.18
1,2j7h,7.19
1,2pqb,7.20
1,4g8n,7.20
1,4b73,7.21
1,2er6,7.22
1,3m35,7.22
1,4avh,7.23
1,3ikg,7.24
1,1jet,7.25
1,3p3r,7.25
1,3cz1,7.26
1,1kel,7.28
1,2qoa,7.28
1,3u7l,7.28
1,1sw1,7.30
1,2vvn,7.30
1,3s8x,7.30
1,1qf1,7.32
1,3pww,7.32
1,2vvs,7.34
1,3s6t,7.35
1,1fao,7.37
1,2qi0,7.38
1,1b55,7.40
1,1owh,7.40
1,2i3h,7.40
1,3up2,7.40
1,1q5k,7.42
1,1b5j,7.43
1,1vzq,7.44
1,4avj,7.44
1,1yei,7.46
1,3kyg,7.46
1,3own,7.47
1,2qwe,7.48
1,3nyx,7.49
1,1lah,7.52
1,2mas,7.52
1,3myq,7.52
1,1lpk,7.55
1,3b50,7.55
1,3suf,7.56
1,2pyn,7.57
1,3cda,7.58
1,1lpz,7.60
1,3gc4,7.60
1,1ftm,7.61
1,2aoe,7.62
1,3o4k,7.62
1,1uvt,7.64
1,3l0v,7.64
1,1nny,7.66
1,4e5w,7.66
1,1w0z,7.68
1,3miy,7.68
1,1izh,7.70
1,1uou,7.70
1,2zjw,7.70
1,3i51,7.70
1,4fsl,7.70
1,1j4r,7.72
1,1j36,7.74
1,1sbg,7.74
1,2ccc,7.76
1,2qm9,7.77
1,3uw4,7.77
1,2i19,7.80
1,3qgy,7.80
1,1nvs,7.82
1,2ptz,7.82
1,3prs,7.82
1,1a94,7.85
1,1lst,7.85
1,3sut,7.85
1,1h2t,7.89
1,3rz5,7.89
1,1b6j,7.92
1,3sbi,7.92
1,2ewa,7.94
1,1epo,7.96
1,2e1w,7.96
1,3bgq,7.96
1,3uuo,7.96
1,1dqn,8.00
1,1r0p,8.00
1,2e94,8.00
1,2z8e,8.00
1,3gkz,8.00
1,3sio,8.00
1,2cc7,8.01
1,1vyf,8.05
1,2xxt,8.05
1,4b8y,8.05
1,3lil,8.08
1,1fzj,8.10
1,2cf8,8.10
1,3nx7,8.10
1,1o5r,8.12
1,3b4f,8.14
1,1w5v,8.15
1,3bu1,8.15
1,3rz8,8.17
1,3hit,8.19
1,1h1d,8.22
1,3d1y,8.22
1,3f16,8.23
1,1nvq,8.25
1,2cbj,8.27
1,1tom,8.30
1,3d20,8.30
1,4afg,8.30
1,1hwr,8.33
1,1h23,8.35
1,3d83,8.36
1,2nnp,8.37
1,4a6b,8.38
1,1fq5,8.40
1,1z1h,8.40
1,2qbp,8.40
1,3b68,8.40
1,3sww,8.40
1,1i9p,8.41
1,2xbv,8.43
1,2xyf,8.44
1,1i9m,8.48
1,2uxz,8.48
1,2g5u,8.49
1,2vh0,8.51
1,1rp7,8.52
1,2q64,8.52
1,3hvh,8.52
1,3kjd,8.54
1,3v51,8.55
1,3ejr,8.57
1,3b66,8.60
1,3ryz,8.62
1,1mue,8.64
1,3s71,8.64
1,2qd6,8.68
1,1jgl,8.70
1,1t7j,8.70
1,2fmb,8.70
1,2uwo,8.70
1,2y7z,8.70
1,3ge7,8.70
1,4a7i,8.70
1,1b6k,8.74
1,3rz1,8.74
1,1x38,8.77
1,4e4l,8.77
1,3rt4,8.80
1,2zxg,8.82
1,2avo,8.85
1,1n3i,8.89
1,3ekp,8.89
1,1kzn,8.92
1,1nfw,8.96
1,3v5p,8.96
1,1mq5,9.00
1,2p4y,9.00
1,3nw9,9.00
1,2q54,9.01
1,3vfb,9.04
1,3hb4,9.05
1,3gba,9.07
1,3sue,9.08
1,1h22,9.10
1,3o56,9.10
1,2wb5,9.13
1,8cpa,9.15
1,3ozg,9.19
1,1fcz,9.22
1,1x39,9.22
1,3rwp,9.22
1,2xab,9.27
1,3p8n,9.28
1,1bv7,9.30
1,3nu6,9.30
1,1bn1,9.34
1,1ebz,9.40
1,2o4r,9.40
1,1hsh,9.42
1,1qbs,9.47
1,1m4h,9.52
1,3g0w,9.52
1,1dmp,9.55
1,3s56,9.62
1,4b7r,9.64
1,1eby,9.70
1,4fk6,9.70
1,3p3g,9.74
1,3nuo,9.80
1,2std,9.85
1,2drc,9.89
1,3rlb,9.92
1,1bnn,10.00
1,1gar,10.00
1,1nm6,10.05
1,2p16,10.10
1,2qi7,10.21
1,1hvs,10.30
1,1c4u,10.37
1,1msm,10.48
1,1if7,10.52
1,1qbr,10.57
1,2zx6,10.60
1,3cs7,10.68
1,4agc,10.70
1,1ebg,10.82
1,1hvi,10.92
1,4ase,11.00
1,1x1z,11.06
1,2i4v,11.20
1,3k8q,11.28
1,2x00,11.33
1,1lyb,11.42
1,2i4u,11.57
1,4dfg,11.74
2,3c2f,2.00
2,2w8w,2.12
2,1x8d,2.21
2,1ajp,2.23
2,3ao1,2.26
2,3kgq,2.30
2,1m0o,2.31
2,6rnt,2.37
2,3l7b,2.40
2,1tok,2.47
2,3bf1,2.52
2,3b3s,2.55
2,2r5a,2.60
2,3lvw,2.67
2,1pfu,2.72
2,2bet,2.77
2,3lka,2.82
2,3udh,2.85
2,1ugp,2.89
2,3alt,2.92
2,1f4e,2.96
2,4dst,2.96
2,1ws4,3.00
2,1utm,3.01
2,2ha3,3.03
2,1uj5,3.05
2,1ugw,3.09
2,3c2r,3.11
2,3f34,3.16
2,1axz,3.20
2,1k1y,3.22
2,1px4,3.23
2,3t1l,3.26
2,3tfu,3.28
2,1phw,3.30
2,1pzp,3.31
2,4b0b,3.33
2,1tnh,3.37
2,1toj,3.39
2,1m83,3.40
2,3d8y,3.40
2,2w08,3.42
2,1moq,3.46
2,3gx0,3.48
2,1gz9,3.51
2,3lcu,3.52
2,2cle,3.55
2,3dx1,3.58
2,2fzk,3.60
2,3b3x,3.60
2,3sk2,3.61
2,4agl,3.65
2,3pcn,3.66
2,3ioc,3.68
2,1bcj,3.70
2,1wht,3.70
2,2vfk,3.71
2,2am4,3.72
2,1f5k,3.74
2,3d6q,3.76
2,3nq3,3.78
2,2hb1,3.80
2,1hn4,3.82
2,2wzs,3.85
2,1aj7,3.87
2,2ctc,3.89
2,1slg,3.90
2,2vuk,3.90
2,1pr5,3.92
2,2cbz,3.93
2,2fpz,3.96
2,1v11,3.98
2,1lgw,4.00
2,2ot1,4.00
2,3ijh,4.00
2,3fzn,4.01
2,2x96,4.03
2,1r4w,4.05
2,3fjz,4.05
2,8a3h,4.06
2,3kwa,4.08
2,1c5t,4.10
2,1p19,4.11
2,3a1d,4.12
2,3ozt,4.13
2,2vt3,4.15
2,3sur,4.15
2,3qfd,4.17
2,3b3w,4.19
2,1c5y,4.20
2,3qx5,4.20
2,1pzi,4.22
2,2jke,4.23
2,1li3,4.25
2,2vzr,4.28
2,1v2l,4.29
2,1det,4.30
2,3moe,4.30
2,2tpi,4.31
2,1olx,4.33
2,3uvx,4.34
2,1dy4,4.36
2,3b24,4.38
2,3djo,4.39
2,1no6,4.41
2,3uxd,4.41
2,2pu2,4.43
2,3pxf,4.43
2,2v86,4.46
2,1qan,4.48
2,1hi4,4.49
2,3kmy,4.49
2,1gi7,4.51
2,1ctt,4.52
2,2ra6,4.52
2,3h30,4.53
2,1szd,4.54
2,3b2q,4.55
2,3suv,4.55
2,3f3t,4.59
2,1pa9,4.60
2,2v54,4.60
2,3d7k,4.60
2,1f4f,4.62
2,3f5k,4.62
2,1bzj,4.66
2,3ddf,4.66
2,2nsl,4.68
2,4agp,4.69
2,2fu8,4.70
2,3kiv,4.70
2,2qrh,4.71
2,3f6g,4.72
2,2e2p,4.74
2,3g2j,4.75
2,1str,4.77
2,3iqu,4.77
2,3g2k,4.79
2,3dnd,4.80
2,1v1j,4.82
2,2pwg,4.82
2,3a1s,4.83
2,1qji,4.85
2,3cj2,4.85
2,3zyf,4.85
2,3pju,4.88
2,3d4z,4.89
2,3juq,4.91
2,1jqy,4.92
2,3iqj,4.93
2,2vpe,4.94
2,1dar,4.96
2,2vjx,4.96
2,3zsq,4.96
2,1c84,5.00
2,1sbr,5.00
2,3cfn,5.00
2,3p9m,5.00
2,2d0k,5.02
2,1mfa,5.04
2,4euo,5.05
2,2xm1,5.07
2,3tb6,5.08
2,1kmy,5.10
2,2h5a,5.10
2,3syr,5.10
2,2h6q,5.11
2,1uv6,5.12
2,1gcz,5.13
2,3tao,5.14
2,1s38,5.15
2,3lqi,5.16
2,2qrg,5.18
2,1rnt,5.19
2,1o2r,5.21
2,1ucn,5.22
2,2rfy,5.22
2,3lq2,5.22
2,1b4z,5.23
2,1s89,5.24
2,2bfr,5.25
2,2x7u,5.27
2,3o5x,5.28
2,1o0f,5.30
2,3gpo,5.30
2,1mfd,5.31
2,3q1x,5.33
2,3k4q,5.34
2,3hkn,5.35
2,1gpk,5.37
2,1g3e,5.38
2,1qbv,5.39
2,1f8b,5.40
2,1trd,5.40
2,2qg2,5.40
2,1gja,5.42
2,1syi,5.44
2,4dju,5.44
2,1g7f,5.47
2,2r0z,5.47
2,2zkj,5.48
2,1tys,5.49
2,3ga5,5.49
2,3da9,5.51
2,1ydr,5.52
2,3iog,5.52
2,2y7i,5.54
2,1g3d,5.55
2,2jdn,5.56
2,3coz,5.57
2,1fo0,5.59
2,2wca,5.60
2,1ejn,5.62
2,3lpl,5.62
2,3l1n,5.63
2,2ojg,5.64
2,4deu,5.64
2,2erz,5.66
2,2pqz,5.67
2,2q8z,5.68
2,1a99,5.70
2,1n1m,5.70
2,2i4z,5.70
2,3eks,5.70
2,2qg0,5.72
2,3m3z,5.73
2,1zdp,5.74
2,3ivx,5.74
2,4a95,5.76
2,2xp7,5.77
2,2y5h,5.79
2,4g8v,5.80
2,1urg,5.82
2,3qqa,5.82
2,1o2w,5.85
2,2e5y,5.85
2,3e5u,5.85
2,1b3l,5.89
2,2tmn,5.89
2,4arb,5.89
2,1ugx,5.91
2,1ndv,5.92
2,1yds,5.92
2,3neo,5.92
2,2weh,5.95
2,1q8u,5.96
2,1uwu,5.98
2,1c5s,6.00
2,1ssq,6.00
2,2r43,6.00
2,3ddg,6.00
2,1eb2,6.01
2,3f3c,6.02
2,1okl,6.03
2,4f9u,6.03
2,3gus,6.05
2,1jmi,6.06
2,3sfg,6.06
2,3c89,6.07
2,2wej,6.08
2,1w9u,6.09
2,2e7f,6.10
2,2yay,6.10
2,1m2p,6.11
2,1x8r,6.12
2,2c97,6.14
2,2r75,6.15
2,1ndy,6.17
2,4b9k,6.17
2,1v2k,6.19
2,1sqt,6.20
2,1b3h,6.21
2,3acl,6.22
2,3pd9,6.22
2,3vh9,6.24
2,3bgz,6.26
2,1afl,6.28
2,2xyt,6.29
2,1wdn,6.30
2,3ebl,6.30
2,2pvu,6.31
2,2wnc,6.32
2,2qbr,6.33
2,3cj5,6.34
2,3ckp,6.35
2,1ela,6.36
2,1hms,6.37
2,2hkf,6.38
2,1g7v,6.40
2,2g9q,6.40
2,3s72,6.40
2,2qnp,6.41
2,3r17,6.41
2,2b07,6.43
2,2pvm,6.44
2,1m2r,6.46
2,3pd8,6.46
2,1gpn,6.48
2,4e67,6.48
2,2g72,6.50
2,2xjj,6.51
2,1ct8,6.52
2,2h4g,6.52
2,2zft,6.52
2,3uo4,6.52
2,1drv,6.54
2,3d0b,6.54
2,1hmr,6.55
2,2bok,6.55
2,2fqy,6.57
2,3sax,6.57
2,1b58,6.59
2,2e91,6.59
2,3t8v,6.59
2,2f7p,6.60
2,3lxe,6.60
2,1ii5,6.62
2,3ljo,6.62
2,3f8f,6.63
2,2za0,6.64
2,1a4r,6.66
2,1wur,6.66
2,1c5x,6.68
2,3ie3,6.68
2,1b0h,6.70
2,1koj,6.70
2,2oxx,6.70
2,3pgu,6.70
2,2vpn,6.72
2,3l4z,6.72
2,1usi,6.74
2,3fzy,6.74
2,1o30,6.77
2,3fas,6.77
2,1fl3,6.80
2,3fx6,6.80
2,1jeu,6.82
2,2b1i,6.82
2,2v8w,6.82
2,3dx2,6.82
2,2y5g,6.84
2,1os5,6.85
2,3n76,6.85
2,1cgl,6.87
2,3oe5,6.88
2,1uz1,6.89
2,2r3w,6.89
2,1k1l,6.90
2,1k6v,6.92
2,2uy0,6.92
2,2weo,6.93
2,1oyq,6.96
2,3hv8,6.98
2,4fbe,6.99
2,1zoh,7.00
2,3drf,7.00
2,3zyu,7.00
2,3nht,7.01
2,3n4b,7.02
2,3mtw,7.04
2,2wer,7.05
2,4e3h,7.05
2,2ate,7.07
2,3rlp,7.08
2,2f7i,7.10
2,3hky,7.10
2,1nz7,7.12
2,3dx4,7.12
2,2j7d,7.13
2,3ffp,7.14
2,1xr9,7.15
2,3n9r,7.15
2,2doo,7.17
2,1fcx,7.19
2,3f19,7.19
2,2xii,7.20
2,3f1a,7.21
2,1gvx,7.22
2,2h6t,7.22
2,3m96,7.22
2,4djx,7.23
2,3n3g,7.24
2,2ces,7.25
2,1dhi,7.26
2,3gc5,7.26
2,2ceq,7.28
2,3a6t,7.28
2,4alx,7.28
2,1tmn,7.30
2,3c52,7.30
2,4b1j,7.30
2,1ydt,7.32
2,2j2u,7.33
2,2ydw,7.34
2,1k6p,7.36
2,3dp4,7.37
2,1d3p,7.39
2,1drj,7.40
2,1r6n,7.40
2,2zy1,7.40
2,3vha,7.40
2,1t32,7.42
2,2bak,7.43
2,2f7o,7.44
2,1n0s,7.45
2,1yej,7.46
2,3ocz,7.46
2,5tmp,7.47
2,3o6m,7.48
2,2vwo,7.51
2,1lf2,7.52
2,3ekr,7.52
2,3rlr,7.52
2,1tlp,7.55
2,3ni5,7.55
2,1d09,7.57
2,3cd0,7.57
2,2fdp,7.59
2,2o8h,7.60
2,3iph,7.60
2,3ibn,7.61
2,2p3c,7.62
2,4dbm,7.62
2,3d78,7.64
2,3sjf,7.64
2,1ppk,7.66
2,4fbx,7.66
2,1ze8,7.68
2,2itk,7.69
2,1mes,7.70
2,2d1o,7.70
2,3b7r,7.70
2,3p7i,7.70
2,4tmk,7.70
2,1oif,7.72
2,1lee,7.74
2,1txr,7.74
2,2zpk,7.76
2,3cyw,7.77
2,2zwz,7.79
2,2ra0,7.80
2,3ryj,7.80
2,2cf9,7.82
2,2xbx,7.82
2,3cd7,7.84
2,1b8y,7.85
2,2fle,7.85
2,3uw5,7.85
2,2ylc,7.89
2,4b5d,7.89
2,2jjb,7.92
2,4a6c,7.92
2,3dcs,7.94
2,1g2k,7.96
2,2p3a,7.96
2,3ekw,7.96
2,4ap7,7.96
2,1fkg,8.00
2,1rmz,8.00
2,2hah,8.00
2,3b92,8.00
2,3hs4,8.00
2,3t0x,8.00
2,1b7h,8.02
2,2b9a,8.05
2,2y80,8.05
2,3dbu,8.06
2,2rkg,8.09
2,1ghy,8.10
2,2pvj,8.10
2,1ndz,8.11
2,2yi0,8.12
2,3ljz,8.14
2,2d1n,8.15
2,3d8w,8.15
2,2f80,8.18
2,3roc,8.19
2,1h1s,8.22
2,3le9,8.22
2,1ydb,8.24
2,2pbw,8.25
2,3hek,8.27
2,2cen,8.30
2,3fqe,8.30
2,2hs2,8.31
2,1bzy,8.34
2,2uwd,8.35
2,3kek,8.36
2,3t1a,8.37
2,1lzq,8.39
2,1fzk,8.40
2,1zpa,8.40
2,2uwl,8.40
2,3d0e,8.40
2,3zxz,8.40
2,1i9q,8.41
2,2za5,8.43
2,3kdd,8.46
2,1w5y,8.48
2,2yix,8.48
2,2ieo,8.49
2,3i25,8.51
2,1xkk,8.52
2,2qu6,8.52
2,3hvk,8.52
2,1hos,8.55
2,1bgq,8.57
2,3v7x,8.57
2,3s43,8.60
2,4fcf,8.62
2,1r1j,8.64
2,6std,8.64
2,2q55,8.69
2,1jyq,8.70
2,1w13,8.70
2,2h4n,8.70
2,2vj8,8.70
2,2y81,8.70
2,3hvj,8.70
2,4eo6,8.70
2,1mjj,8.74
2,4ei4,8.74
2,1zp8,8.77
2,1fkn,8.80
2,1ork,8.81
2,3fvk,8.82
2,2obf,8.85
2,1nfy,8.89
2,3vhc,8.89
2,1r1h,8.92
2,2p4j,8.96
2,4ag8,8.96
2,1mu8,9.00
2,2wyj,9.00
2,3u6h,9.00
2,1ec3,9.04
2,1ebw,9.05
2,3nu9,9.05
2,1bnw,9.08
2,1d3d,9.09
2,2qd7,9.10
2,3pwm,9.10
2,3su3,9.13
2,1z71,9.18
2,3vfa,9.19
2,1hpo,9.22
2,1z1r,9.22
2,4dv8,9.24
2,3b65,9.27
2,3rux,9.28
2,1udt,9.30
2,4er2,9.30
2,3vf5,9.34
2,1fkf,9.40
2,2w26,9.40
2,3bgs,9.42
2,1xjd,9.48
2,2bys,9.52
2,1g52,9.54
2,1ws1,9.55
2,1if8,9.64
2,3pe1,9.65
2,1fkb,9.70
2,1z6e,9.72
2,3pe2,9.76
2,1pvn,9.82
2,3kdb,9.85
2,1hxb,9.92
2,1hvl,9.95
2,1bxo,10.00
2,1igj,10.00
2,3lzu,10.06
2,1y6r,10.11
2,3t3c,10.23
2,2p15,10.30
2,1kzk,10.39
2,2zx7,10.49
2,1n46,10.52
2,2qi6,10.57
2,1qbt,10.62
2,2pk5,10.70
2,2o4p,10.72
2,1hxw,10.82
2,3utu,10.92
2,1dqx,11.05
2,3k8o,11.07
2,3gi5,11.22
2,1pro,11.30
2,2j62,11.34
2,4djo,11.52
2,2i4w,11.59
2,1duv,11.80
3,3g2y,2.00
3,3gv9,2.12
3,4g0z,2.21
3,2igv,2.23
3,1uto,2.27
3,3mhw,2.30
3,1qi0,2.35
3,3f6e,2.38
3,1oba,2.44
3,1utl,2.47
3,3gr2,2.52
3,3ovn,2.55
3,3f37,2.62
3,3elc,2.69
3,2rkd,2.72
3,3fcq,2.77
3,3ppr,2.82
3,3qx8,2.86
3,3g31,2.89
3,3k8c,2.92
3,2w8j,2.96
3,2hw2,2.97
3,2q8h,3.00
3,4g0p,3.01
3,3adv,3.03
3,1uj6,3.05
3,1ec9,3.10
3,1ax0,3.13
3,1lbk,3.18
3,1s5z,3.21
3,1tog,3.22
3,3zsy,3.23
3,5yas,3.26
3,3zsx,3.28
3,1tpw,3.30
3,1pzo,3.32
3,3f33,3.34
3,1v2u,3.37
3,1bxr,3.40
3,1uz4,3.40
3,3jzh,3.40
3,3iob,3.42
3,3muz,3.46
3,3nyd,3.48
3,2r0h,3.51
3,3mfw,3.52
3,2qwc,3.55
3,1nli,3.59
3,2qpu,3.60
3,3g0i,3.60
3,1pb9,3.62
3,2qv7,3.66
3,3t2q,3.66
3,3isj,3.68
3,1gz3,3.70
3,2bvr,3.70
3,3fj7,3.71
3,2r23,3.72
3,2wq5,3.74
3,1kui,3.77
3,2clk,3.79
3,3t09,3.80
3,3g2h,3.82
3,2yb0,3.85
3,1v16,3.87
3,3iae,3.89
3,2gvv,3.90
3,2wor,3.90
3,2yim,3.92
3,1v1m,3.94
3,2wec,3.96
3,3b3c,3.98
3,1nu3,4.00
3,2qrl,4.00
3,3m8t,4.00
3,2wvz,4.02
3,3bxh,4.03
3,1toi,4.05
3,3n8k,4.05
3,1hyo,4.07
3,1ai7,4.09
3,1odj,4.10
3,1z3v,4.11
3,3ivc,4.12
3,3qto,4.13
3,2xg9,4.15
3,3sus,4.15
3,4b9w,4.17
3,3cft,4.19
3,1c87,4.20
3,1odi,4.21
3,1t5f,4.22
3,2jkp,4.23
3,2qrk,4.26
3,3f5j,4.28
3,2wuf,4.29
3,1w3k,4.30
3,3obu,4.30
3,3q5u,4.31
3,3l7a,4.33
3,1ghv,4.35
3,2ez7,4.36
3,3guz,4.38
3,1p57,4.40
3,1olu,4.41
3,4exs,4.41
3,2we3,4.43
3,4dsy,4.43
3,2r2w,4.47
3,2ogy,4.48
3,1j14,4.49
3,4el0,4.49
3,2r1y,4.51
3,1gu1,4.52
3,2wm0,4.52
3,1amw,4.54
3,2zz1,4.54
3,3djv,4.55
3,3sym,4.57
3,3hp9,4.59
3,1tx7,4.60
3,2vb8,4.60
